keys,ru,en
   [ERR:BUTTON_MOVED],   [ERR:BUTTON_MOVED],   [ERR:BUTTON_MOVED]
   ÐŸÐ¾Ð´Ð¾Ð¶Ð´Ð¸Ñ‚Ðµ,   ÐŸÐ¾Ð´Ð¾Ð¶Ð´Ð¸Ñ‚Ðµ,   Please wait
   КНОПКА НЕ ЗДЕСЬ,   КНОПКА НЕ ЗДЕСЬ,   BUTTON NOT HERE
"   Нажми, если сможешь","   Нажми, если сможешь",   Press if you can
   Отчёт готов!,   Отчёт готов!,   Report ready!
   Отчёт готов! (невероятно),   Отчёт готов! (невероятно),   Report ready! (unbelievable)
   ПРОГРЕСС? ХА,   ПРОГРЕСС? ХА,   PROGRESS? HA
   Подождите...,   Подождите...,   Please wait...
   Подождите... %.1f сек,   Подождите... %.1f сек,   Please wait... %.1f s
   Сгенерировать отчёт,   Сгенерировать отчёт,   Generate report
"   думаю, но медленно","   думаю, но медленно","   thinking, but slowly"
   компилирую отмазки,   компилирую отмазки,   compiling excuses
   убегаю от курсора,   убегаю от курсора,   running from cursor
" SQL | UTF-8 | ВРЕМЯ: %.1f сек | LN 1, COL 1"," SQL | UTF-8 | ВРЕМЯ: %.1f сек | LN 1, COL 1"," SQL | UTF-8 | TIME: %.1f s | LN 1, COL 1"
 SQЛ | ПАКЕТЫ ПОТЕРЯНЫ | %.1f, SQЛ | ПАКЕТЫ ПОТЕРЯНЫ | %.1f, SQL | PACKETS LOST | %.1f
 [ОШИБКА 0xF00D], [ОШИБКА 0xF00D], [ERROR 0xF00D]
 [задание мутирует], [задание мутирует], [task is mutating]
 [подсказки лгут], [подсказки лгут], [hints are lying]
 [таблица сбежала], [таблица сбежала], [table escaped]
"%s
Деньги: %d/%d руб.","%s
Деньги: %d/%d руб.","%s
Money: %d/%d RUB"
%s %.1fс,%s %.1fс,%s %.1fs
%s: %s,%s: %s,%s: %s
+%d руб.,+%d руб.,+%d RUB
- Имя Фамилия,- Имя Фамилия,- Name Surname
2D-арт и иллюстрации — Сергей Генерозов,2D-арт и иллюстрации — Сергей Генерозов,2D Art and Illustrations - Sergej Generozov
E — %s,E — %s,E - %s
E — взаимодействовать,E — взаимодействовать,E - interact
Proyti cherez blokpost,Proyti cherez blokpost,Pass through checkpoint
Q — включить свет,Q — включить свет,Q - turn on light
Q — выключить свет,Q — выключить свет,Q - turn off light
Snachala zapusti generator.,Snachala zapusti generator.,Start the generator first.
